"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"G 1/8'' ";"23,0 ";"8,5 ";"8 ";"14 ";"14 ";"GE-LR-06-G 1/8''-wd ";"7,93 ";"L ";"3644 "
"500 ";"6 ";"G 1/4'' ";"27,0 ";"9,0 ";"12 ";"19 ";"14 ";"GE-LR-06-G 1/4''-wd ";"12,17 ";"L ";"3645 "
"400 ";"6 ";"G 3/8'' ";"27,0 ";"11,5 ";"12 ";"22 ";"14 ";"GE-LR-06-G 3/8''-wd ";"15,32 ";"L ";"3646 "
"400 ";"6 ";"G 1/2'' ";"29,0 ";"12,0 ";"14 ";"27 ";"14 ";"GE-LR-06-G 1/2''-wd ";"17,46 ";"L ";"3647 "
"500 ";"8 ";"G 1/8'' ";"26,0 ";"9,5 ";"8 ";"14 ";"17 ";"GE-LR-08-G 1/8''-wd ";"9,56 ";"L ";"3648 "
"500 ";"8 ";"G 1/4'' ";"25,0 ";"10,0 ";"12 ";"19 ";"17 ";"GE-LR-08-G 1/4''-wd ";"9,51 ";"L ";"3649 "
"400 ";"8 ";"G 3/8'' ";"28,5 ";"11,5 ";"12 ";"22 ";"17 ";"GE-LR-08-G 3/8''-wd ";"13,42 ";"L ";"3650 "
"400 ";"8 ";"G 1/2'' ";"28,5 ";"13,0 ";"14 ";"27 ";"17 ";"GE-LR-08-G 1/2''-wd ";"16,44 ";"L ";"3651 "
"500 ";"10 ";"G 1/8'' ";"27,5 ";"11,0 ";"8 ";"17 ";"19 ";"GE-LR-10-G 1/8''-wd ";"11,04 ";"L ";"3652 "
"500 ";"10 ";"G 1/4'' ";"26,0 ";"11,0 ";"12 ";"19 ";"19 ";"GE-LR-10-G 1/4''-wd ";"10,43 ";"L ";"3653 "
"400 ";"10 ";"G 3/8'' ";"30,5 ";"12,5 ";"12 ";"22 ";"19 ";"GE-LR-10-G 3/8''-wd ";"14,8 ";"L ";"3654 "
"400 ";"10 ";"G 1/2'' ";"32,5 ";"13,0 ";"14 ";"27 ";"19 ";"GE-LR-10-G 1/2''-wd ";"19,58 ";"L ";"3655 "
"315 ";"10 ";"G 3/4'' ";"30,5 ";"14,0 ";"16 ";"32 ";"19 ";"GE-LR-10-G 3/4''-wd ";"22,75 ";"L ";"3656 "
"400 ";"12 ";"G 1/8'' ";"29,0 ";"11,0 ";"8 ";"19 ";"22 ";"GE-LR-12-G 1/8''-wd ";"16,36 ";"L ";"3657 "
"400 ";"12 ";"G 1/4'' ";"30,0 ";"12,0 ";"12 ";"19 ";"22 ";"GE-LR-12-G 1/4''-wd ";"15,03 ";"L ";"3658 "
"400 ";"12 ";"G 3/8'' ";"27,0 ";"12,5 ";"12 ";"22 ";"22 ";"GE-LR-12-G 3/8''-wd ";"12,25 ";"L ";"3659 "
"400 ";"12 ";"G 1/2'' ";"31,0 ";"13,0 ";"14 ";"27 ";"22 ";"GE-LR-12-G 1/2''-wd ";"18,71 ";"L ";"3660 "
"315 ";"12 ";"G 3/4'' ";"31,0 ";"14,0 ";"16 ";"32 ";"22 ";"GE-LR-12-G 3/4''-wd ";"23,26 ";"L ";"3661 "
"400 ";"15 ";"G 1/4'' ";"32,0 ";"13,0 ";"12 ";"24 ";"27 ";"GE-LR-15-G 1/4''-wd ";"18,92 ";"L ";"3662 "
